💬 Message from Chill Taxi#6274 in trainiee-chat:  | Time: 2025-01-09 17:37:28.268298
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-01-09 17:37:28.268298
💬 Message from Chill Taxi#6274 in trainiee-chat:  | Time: 2025-01-09 17:37:28.268298
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: I just said to stop talking | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: and besides he said it to me | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: so I can say it back | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: <@711284441166774302> fyi it’s ninjapowie alt | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: SHUT | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: UP | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: ok | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: there’s links | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: trainee info | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: <@1320946362329858079> | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: <@924429826557898852> | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in trainiee-chat: https://discord.com/channels/1300167248882962502/1314804684103483422 | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: Do I put the Discord or Roblox username? | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in chat: cheesestick | Time: 2025-01-09 17:37:28.268298
💬 Message from cenn_elly in trainiee-chat: he's been warned as well | Time: 2025-01-09 17:37:28.268298
💬 Message from cenn_elly in trainiee-chat: use your eyes | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: My feelings are hurt | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: warn yourself | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: READ MY APPLICATION | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in Direct Message with Unknown User: shut the ***** up nigga | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in Direct Message with Unknown User: You're a bot so I can't be disrepectful | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in chat: Terminate this person | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in chat: hes banned till 2100 | Time: 2025-01-09 17:37:28.268298
💬 Message from cenn_elly in trainiee-chat: its tell you | Time: 2025-01-09 17:37:28.268298
💬 Message from cenn_elly in trainiee-chat: the score. | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in trainiee-chat: I got 10/12 | Time: 2025-01-09 17:37:28.268298
💬 Message from cenn_elly in trainiee-chat: ok | Time: 2025-01-09 17:37:28.268298
